,small_holdings,internet_access_from_work,population,HH_NLI9,r_38_201___r_76_400,D_DOMESTIC_KM2,no_income,pd,r_1___r_4800,collective_living_quarters,r_614_001___r_1_228_800,vacant,AGE50_54,AGE15_19,target_label,D_MIGR_IN_KM2,traditional_residential,cellphone_perc,HH_NLI8,parks_and_recreation,P_NLI1,D_POP_CHAN,industrial,AGE55_59,internet_access_from_elsewhere,internet_access_grand_total,HH_NLI7,commercial,HH_NLI1,AREA_KM2,r_2_457_601_or_more,P_NLI3,r_76_401___r_153_800,D_TOT_WORK_KM2,AGE70_74,internet_access_from_cell_phone,r_153_801___r_307_600,HH_NLI10,r_4801___r_9600,D_LEARNERS_KM2,MN_TYPE_woe,farms_woe,SP_NAME_woe,SAL_CODE_woe,MP_NAME_woe,PR_NAME_woe,DC_NAME_woe,informal_residential_woe,SP_NBH_ID_woe,MN_NAME_woe
93619,0.0,0.188172043,613.0,18.3217456259,0.064516129,4.17105540375869,0.043010753,3073.68,0.0,0.0,0.258064516,0.0,45.4863053256,32.0013109499,1,4.671582052209734,0.0,0.97311828,22.4769525031,0.0,0.0314070006863,-246,0.0,53.4834137853,0.010752688,186.0,17.8940987909,0.0,5.94870141577,0.199209456927,0.016129031999999998,0.0799499222676,0.069892473,4.671582052209734,16.7280639315,0.086021505,0.19892473100000002,46.0835882946,0.0,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,-0.10198017826501271,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93620,0.0,0.2,564.0,13.0626852992,0.058510638,2.8633149351628053,0.031914894,2696.36,0.0,0.0,0.159574468,0.0,36.9536255367,27.2601183799,1,2.8633149351628053,0.0,0.963157895,18.394918083,0.0,0.0474914207275,-211,0.0,29.9297629537,0.010526316,190.0,14.6443554295,0.0,7.08893318178,0.208935318116,0.015957447,0.0691392681959,0.11170212800000001,2.8633149351628053,17.9850103355,0.068421053,0.186170213,31.5230155154,0.0053191490000000004,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,-0.10198017826501271,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93621,0.0,0.305343511,438.0,12.1476599397,0.038167939,3.356033742690871,0.045801527,2598.76,0.0,0.0,0.198473282,0.0,23.1159652049,12.2725228797,1,15.99051371517415,0.0,0.992366412,20.111493924,0.0,0.025481000296,46,0.0,38.5022043935,0.030534351,131.0,16.0109364942,0.0,3.48386831032,0.168352806806,0.007633588,0.0582523398653,0.076335878,15.99051371517415,14.944671096,0.076335878,0.229007634,28.5589969711,0.0,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,-0.10198017826501271,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93622,0.0,0.169491525,383.0,10.5480335552,0.086956522,3.02694857736414,0.052173912999999995,2613.15,0.008695652,0.0,0.2,0.0,13.4739346628,19.9944012923,1,3.02694857736414,0.0,1.0,17.5271656116,0.0,0.0416027164686,-130,0.0,17.9783507459,0.0,118.0,13.9535300853,0.0,4.74877771126,0.146400631816,0.008695652,0.101710728178,0.086956522,3.02694857736414,7.49660466177,0.101694915,0.139130435,21.7436044995,0.0,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,-0.10198017826501271,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93637,0.0,0.282786885,617.0,13.1432165248,0.053719008,1.6474798936047759,0.08677686,522.469,0.004132231,0.0,0.107438017,0.0,29.1806337815,22.5602546382,1,12.562034188736416,0.0,0.9918032790000001,25.9265745471,0.0,0.0228193881608,117,0.0,33.0698505501,0.024590163999999998,244.0,20.6403731197,0.053278689000000004,5.29534772449,0.376491588136,0.020661157,0.0844329486077,0.082644628,12.562034188736416,6.39277952729,0.233606557,0.351239669,29.5347207931,0.004132231,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,1.2158902083077192,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93638,1.0,0.128205128,79.0,1.57141051913,0.10526315800000001,0.3677454793882959,0.026315789,201.55200000000002,0.0,0.0,0.131578947,0.0,3.14155434673,4.60468754427,1,6.647706742788426,0.0,0.897435897,0.927474861287,0.0,0.219595058339,193,0.0,4.21950336855,0.0,39.0,0.738370861962,0.0,7.43712509323,0.391542455838,0.0,0.0403545170993,0.052631579000000005,6.647706742788426,3.96995310552,0.025641026,0.131578947,9.48374682187,0.0,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,1.2158902083077192,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93639,0.0,0.283464567,384.0,15.3793870158,0.0859375,4.788047872910072,0.1171875,2438.48,0.0078125,0.0,0.1875,0.0,16.8460264379,7.99567266799,1,14.927443368484342,0.0,0.9921259840000001,23.7773705965,0.0,0.0715087007541,7,0.0,22.0845299811,0.05511811,127.0,18.9293730271,0.0,17.759994919,0.157306570159,0.0,0.0743352183131,0.0625,14.927443368484342,34.3935204013,0.094488189,0.15625,42.3263895608,0.0,34.92458448475582,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,1.2158902083077192,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93640,0.0,0.167938931,341.0,24.8476014649,0.023076923,7.84607545162072,0.10769230800000001,2255.07,0.023076923,0.0,0.223076923,0.0,40.5170950829,31.7082681165,1,8.579353531211442,0.0,0.977099237,26.8946519005,0.0,0.0422024043163,-253,0.0,28.4468305003,0.030534351,131.0,21.4110679813,0.0,10.7990641457,0.151052589615,0.007692308,0.0839877322859,0.046153846,8.579353531211442,13.5188165803,0.13740458,0.17692307699999998,69.1616015706,0.0,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,1.2158902083077192,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93641,0.0,0.31092437,362.0,20.0856388596,0.008403361,7.924412637720196,0.100840336,2752.28,0.0,0.0,0.235294118,0.0,51.7275723993,35.9233796836,1,11.465107646063261,0.0,0.983193277,30.5242590562,0.0,0.0293306939834,-170,0.0,42.5768104238,0.050420168,119.0,24.3006300341,0.0,5.84976234566,0.131386908475,0.025210084,0.0240976767445,0.058823529000000006,11.465107646063261,12.0156840637,0.159663866,0.151260504,60.9797719676,0.0,0.0,0.6410842548783214,0.011153490242239912,6.651738496379445,0.9816162867047156,1.2158902083077192,0.4423957206201615,0.7798736495440927,0.011153490242239912,6.661348821279233,0.8189486631456284
93652,0.0,0.38297872299999997,124.0,3.48077936883,0.042553191,0.039079846719760426,0.063829787,25.728,0.0,0.0,0.212765957,0.0,13.125784706,2.45611268793,0,4.18614122804022,0.0,0.978723404,5.45000903001,0.0,0.183202886742,1729,0.0,8.93403961089,0.021276596000000002,47.0,4.33879993211,1.0,14.4290149866,4.81530163829,0.021276596000000002,0.13323952819,0.08510638300000001,4.18614122804022,0.0,0.08510638300000001,0.212765957,10.5299437544,0.021276596000000002,2.604556843146386,0.6410842548783214,0.011153490242239912,-6.870206045974074,0.9816162867047156,-0.10198017826501271,0.4423957206201615,0.7798736495440927,0.011153490242239912,-6.880156376827242,0.8189486631456284
