,TOTAL_HH17,W_M_INC17,P_NLI1,P_NLI2,P_NLI3,P_NLI4,P_NLI5,P_NLI6,P_NLI7,P_NLI8,P_NLI9,P_NLI10,HH_NLI1,HH_NLI2,HH_NLI3,HH_NLI4,HH_NLI5,HH_NLI6,HH_NLI7,HH_NLI8,HH_NLI9,HH_NLI10,NLI17V2,AREA_KM2,POP_KM2,T_N_POP,D_POP_CHAN,AGE0_4,AGE5_9,AGE10_14,AGE15_19,AGE20_24,AGE25_29,AGE30_34,AGE35_39,AGE40_44,AGE45_49,AGE50_54,AGE55_59,AGE60_64,AGE65_69,AGE70_74,AGE75_79,AGE80OVER,population,pd,atoll_area,no_income,r_1___r_4800,r_4801___r_9600,r_9601___r_19_600,r_19_601___r_38_200,r_38_201___r_76_400,r_76_401___r_153_800,r_153_801___r_307_600,r_307_601___r_614_400,r_614_001___r_1_228_800,r_1_228_801___r_2_457_600,r_2_457_601_or_more,internet_access_from_home,internet_access_from_cell_phone,internet_access_from_work,internet_access_from_elsewhere,internet_access_no_access_to_in,internet_access_grand_total,formal_residential,traditional_residential,parks_and_recreation,collective_living_quarters,industrial,small_holdings,vacant,commercial,cellphone_perc,computer_perc,dvd_perc,land_line_perc,radio_perc,sat_tv_perc,tv_perc,D_NW_RESD_KM2,D_LEARNERS_KM2,D_FORMAL_KM2,D_DOMESTIC_KM2,D_TOT_WORK_KM2,D_MIGR_OUT_KM2,D_MIGR_IN_KM2,target_label
56696,266.894829199,39774.6087437,0.692529601719,0.134105445767,0.1333990045,0.0201627522987,0.00922605069038,0.00669659000163,0.00149839249732,0.00188214547079,0.000500017055269,0.0,184.832569766,35.7920500426,35.6035045213,5.38133433093,2.46238522319,1.7872852447,0.399913209644,0.502334893953,0.133451966562,0.0,2.0,0.0491828091196,18848.0490764,927,-228,98.7119816693,97.5094648737,85.4443792128,80.6865013096,120.332937043,114.315142298,77.3291751698,36.1605275694,42.9976450289,50.7511355358,48.0626182932,36.5183019921,13.5535673942,13.9624583121,10.6641642977,0.0,0.0,746.0,15152.6,0.049232523,0.108374384,0.123152709,0.118226601,0.24137931,0.197044335,0.118226601,0.054187192,0.034482759,0.004926108,0.0,0.0,0.0,0.029411765,0.20098039199999998,0.004901961,0.171568627,0.598039216,204.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764709999999,0.12254902,0.642156863,0.004901961,0.642156863,0.112745098,0.8284313729999999,112.12789584311616,0.0,0.0,0.22515641735565495,0.22515641735565495,51.56081957444498,0.22515641735565495,0
56697,328.963394122,45298.6261263,0.687679401967,0.153079214821,0.134977474235,0.0158623165218,0.00235146882285,0.00157772670722,0.0,0.0,0.0,0.00447239692514,226.221350139,50.357458077,44.4026480545,5.21812148165,0.773547165137,0.519014332604,0.0,0.0,0.0,1.47125487235,2.0,0.132755027304,5905.61439308,784,-122,84.8837439276,75.4647153891,65.3108945619,77.0926599876,82.7807124629,77.2382938047,74.8084327381,46.6423768004,44.3690951603,53.9439323251,33.0637469916,20.9350485628,11.654892593,12.0065033234,9.17025649913,7.96767764807,6.66701722435,852.0,6411.33,0.13288971,0.190661479,0.062256809,0.12062256800000001,0.21400778199999998,0.252918288,0.101167315,0.042801556,0.007782101,0.0,0.0,0.007782101,0.0,0.023346304,0.050583658,0.027237354,0.19455252899999997,0.7042801559999999,257.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914396887,0.050583658,0.6575875489999999,0.007782101,0.501945525,0.058365759,0.7937743190000001,36.36957271602319,97.59724788474114,4.671321266278208,0.33366580473415774,5.004987071012366,15.181794115404177,5.004987071012366,0
56700,230.895061533,36732.8332646,0.686478622145,0.148405850618,0.13219674607,0.0194155499311,0.00808115223951,0.00542207899568,0.0,0.0,0.0,0.0,158.504523702,34.2661780104,30.5235758184,4.48295459605,1.8658981436,1.25193126335,0.0,0.0,0.0,0.0,1.0,0.0298380550133,23661.0596664,706,-139,69.8555316507,75.2776868757,65.963393728,69.2114371615,80.5111634888,67.8859502608,74.6230307275,48.8531193513,33.1943495236,26.1200496068,29.6836228974,28.1922714493,10.4634068464,10.7790722285,8.23277639592,7.15313780781,0.0,593.0,19853.7,0.02986842,0.19101123600000003,0.08988764,0.12921348300000002,0.101123596,0.280898876,0.13483146099999999,0.061797753,0.011235955,0.0,0.0,0.0,0.0,0.005617978,0.16853932600000002,0.005617978,0.09550561800000001,0.7247191009999999,178.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.831460674,0.09550561800000001,0.696629213,0.016853933,0.6179775279999999,0.08426966300000001,0.853932584,151.05404230633602,0.0,0.0,0.0,0.0,51.58848127906808,0.0,0
56701,177.516095698,323078.070362,0.0323985483207,0.0631112094761,0.196990232637,0.240734370249,0.12098635366,0.108103727944,0.0796859229332,0.100094267158,0.03426630678,0.0236290608422,5.75126380417,11.203255501,34.9689369883,42.7342255068,21.4770251344,19.1901517149,14.1455339212,17.7683435077,6.08282099356,4.19453862571,5.0,0.116494542761,3201.86672404,373,-32,10.9071145716,15.3673419988,14.1812151855,19.7186164459,14.15393896,19.5218032283,23.248085599,16.8496456901,34.9711381938,15.619513437,24.5344243831,31.0690355846,47.8263982335,46.639244669,22.5783465132,13.0782955279,2.73584177853,355.0,3043.5,0.11664193699999999,0.129032258,0.0,0.0,0.006451613,0.04516129,0.135483871,0.232258065,0.225806452,0.174193548,0.051612902999999995,0.0,0.0,0.191082803,0.15286624199999999,0.12101910800000001,0.038216561,0.49681528700000005,157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98089172,0.426751592,0.751592357,0.484076433,0.866242038,0.592356688,0.98089172,17.22147956094982,0.0,7.897142561098536,3.8058518366739933,11.70299439777253,14.747675867111724,11.70299439777253,0
56703,172.550610505,981580.349887,0.104322325057,0.0455571259136,0.0401178792466,0.0685066236603,0.0748174597306,0.0746608749092,0.0723893407081,0.0909289588616,0.0883297227132,0.3403696892,18.0008808779,7.86090988924,6.92236455616,11.8208597362,12.9097983529,12.8827795464,12.4908249332,15.6898473641,15.2413475799,58.7309976687,9.0,0.289321606889,1856.06600826,537,-64,20.7069491032,37.7696193451,50.197897177,43.007420387,37.0004030759,18.4632618414,35.8537248361,40.0724894542,55.2948017496,51.5571773212,45.1742562958,44.4868095521,26.085044466,26.8719913609,0.0,4.45815403451,0.0,607.0,1242.51,0.48852862399999997,0.091428571,0.0,0.0,0.062857143,0.08,0.005714286,0.068571429,0.10285714300000001,0.177142857,0.268571429,0.062857143,0.08,0.4375,0.107954545,0.181818182,0.039772727,0.232954545,176.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886363640000001,0.789772727,0.806818182,0.590909091,0.920454545,0.795454545,0.9715909090000001,7.086565005973655,0.0,0.0,7.201482276340796,7.201482276340796,9.65305071083979,7.201482276340796,0
56712,174.846735507,605178.71328,0.0313276740238,0.020939066125,0.0717267319034,0.117216575172,0.132827048114,0.129214225597,0.118647601729,0.149034412955,0.0808854692039,0.148181195175,5.47754153408,3.66112735652,12.5411849219,20.4949355162,23.2243757498,22.5926855267,20.7451458381,26.0581805834,14.1425602402,25.9089982399,7.0,0.265861518834,2046.17803429,544,-125,39.9010166573,51.5969103533,42.8291917189,33.3718493733,14.9893447991,33.8830594291,49.0201038229,60.2269573868,57.1723010613,38.2643212347,34.9825137994,25.1799142122,29.9210866247,20.2856183972,6.01312030222,6.36269082763,0.0,673.0,2530.78,0.265926318,0.034482759,0.0,0.0,0.034482759,0.014778325,0.0591133,0.14285714300000002,0.246305419,0.295566502,0.147783251,0.014778325,0.009852217,0.395121951,0.058536585,0.253658537,0.03902439,0.253658537,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9853658540000001,0.7365853659999999,0.8487804879999999,0.634146341,0.887804878,0.8,0.96097561,8.430260677932278,0.0,0.0,4.941876949132714,4.941876949132714,10.132924164608255,4.941876949132714,1
56810,209.791749465,709760.855151,0.105113246397,0.0621634050459,0.061068364776,0.0969627888889,0.0727133884846,0.0794842503869,0.0908407653472,0.114105973813,0.0850867235259,0.232461093334,22.0518918535,13.0413694972,12.8116390833,20.341993114,15.2546689797,16.6751399435,19.0576430849,23.9384918707,17.8504925847,48.7684194531,8.0,0.518242046841,1206.00017658,625,-97,29.8276213927,34.2483230698,52.0945561898,54.1119288903,27.0062063878,23.1786642064,25.6597135434,45.0084555656,58.8549181748,57.900922342,69.5044715347,40.555551198,30.5386776223,31.6661487589,25.3413781889,15.2491739938,4.25328894082,709.0,1366.35,0.518899156,0.057268722,0.017621145,0.022026432000000002,0.030837003999999998,0.11013215900000001,0.035242291,0.10572687199999999,0.127753304,0.23788546300000002,0.20704845800000002,0.035242291,0.013215858999999998,0.397379913,0.165938865,0.13100436699999998,0.008733624,0.292576419,229.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973799127,0.668122271,0.746724891,0.6288209610000001,0.8471615720000001,0.668122271,0.934497817,4.790904355795491,0.0,0.3849833857335663,3.828445891461576,4.213429277195142,6.288061966981583,4.213429277195142,0
56891,97.8309115338,447678.125893,0.178082663452,0.0910776429206,0.148607620298,0.153579196607,0.0701920619904,0.0663537233837,0.0569900743651,0.0715857897969,0.0462723176578,0.117258909528,17.4219892939,8.91020882728,14.5384189547,15.0247927967,6.86695340696,6.4914452423,5.57539092352,7.0033030687,4.52686301524,11.4715460046,6.0,1.82241304683,124.011403668,226,13,6.57637279502,7.72255639474,13.8744650385,29.5441139838,6.64019534116,7.25364889329,9.10242551824,10.5429171845,14.2003777362,12.213736238,5.62300016206,15.5717506059,22.8704233916,14.4059574761,18.9425316308,17.8618612247,13.0536663854,1125.0,422.981,2.6596951069999997,0.135313531,0.00990099,0.03630363,0.066006601,0.108910891,0.138613861,0.168316832,0.102310231,0.132013201,0.079207921,0.00660066,0.01650165,0.372937294,0.10561056099999999,0.095709571,0.01650165,0.405940594,303.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96039604,0.673267327,0.762376238,0.745874587,0.874587459,0.7194719470000001,0.9471947190000001,0.8178833562325964,1.284379789046744,0.13934309032110903,0.2544525997168078,0.3937956900379168,0.3150365520303334,0.3937956900379168,0
56914,170.067867906,570979.594206,0.0775886881738,0.036851888518,0.073452035279,0.105667605088,0.115286486689,0.117838052209,0.11980980261,0.150494264848,0.0735833607674,0.129427815818,13.1953427714,6.26732210859,12.4918310333,17.9706643041,19.6065269895,20.0404662975,20.3757976841,25.5942387549,12.5141652791,22.0115126839,7.0,0.173612316821,2822.38039889,490,-106,24.256831299,35.2474444737,24.6548540818,26.30240243,27.0345286469,31.4750997446,40.7311763883,33.1512736607,27.6092760452,44.0559529025,51.5147946223,54.1201376117,24.7523932756,25.4991360712,10.8543533325,5.20053088972,3.53981452415,487.0,2801.49,0.17383628,0.117647059,0.0,0.006535948000000001,0.045751634000000006,0.039215686,0.045751634000000006,0.10457516300000001,0.163398693,0.339869281,0.124183007,0.006535948000000001,0.006535948000000001,0.41176470600000004,0.156862745,0.209150327,0.006535948000000001,0.222222222,153.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9673202609999999,0.745098039,0.836601307,0.535947712,0.9607843140000001,0.784313725,0.947712418,13.408334551228334,0.0,0.8300397579331825,6.12952436627581,6.959564124208993,13.727580611971865,6.959564124208993,1
56922,29.7529691001,376704.264497,0.268528834254,0.0551488442747,0.0806569630486,0.108931449392,0.107135817037,0.0965557099137,0.0730129008406,0.0917122188427,0.0438699448,0.0744473175973,7.98953010803,1.64084185961,2.39978412929,3.24103404778,3.18760865382,2.8728190535,2.17235058262,2.72871081333,1.30526111206,2.21502874006,6.0,0.165025370714,369.640133126,61,168,8.04202057208,8.30423666606,3.78249734216,5.47821799211,1.34737101691,7.15533142447,8.81141758307,8.12275798645,4.94638378352,0.985334191256,1.86523036271,0.540996096726,0.0579210357747,0.0,0.0,0.73833425084,0.821949696324,340.0,1128.97,0.301158441,0.044642857,0.008928571,0.0,0.008928571,0.026785714,0.026785714,0.16964285699999998,0.27678571399999996,0.294642857,0.125,0.0,0.017857143,0.41071428600000004,0.214285714,0.19642857100000002,0.008928571,0.16964285699999998,112.0,0.508928571,0.0,0.0,0.491071429,0.0,0.0,0.0,0.0,0.9285714290000001,0.7767857140000001,0.8035714290000001,0.517857143,0.8660714290000001,0.8214285709999999,0.982142857,0.3814323954850016,0.0,11.442971864550046,1.780017845596674,13.222989710146722,2.5428826365666772,13.222989710146722,1
56955,165.479946105,586643.011624,0.0528901792332,0.0193728246853,0.0885260910422,0.151022765404,0.147527223029,0.130022968956,0.0918531328388,0.115377618521,0.0643302544468,0.139076941844,8.75226400902,3.20581398483,14.6492927746,24.9912390797,24.412796916,21.5161938953,15.1998514718,19.0926820946,10.6453670388,23.0144448408,7.0,0.231193162194,2024.28132198,468,-116,42.5871018498,34.0102902025,30.096457726,15.3391565821,24.5716818691,40.1575946044,31.3478015116,60.6784968046,22.3601758924,23.8194192166,33.1893794311,33.4091427059,25.8321916692,35.0269352941,15.5741746407,0.0,0.0,354.0,1530.83,0.231247714,0.072072072,0.0,0.027027027000000002,0.009009009,0.009009009,0.072072072,0.144144144,0.261261261,0.243243243,0.126126126,0.018018018,0.018018018,0.321428571,0.15178571400000002,0.20535714300000002,0.035714286,0.28571428600000004,112.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9732142859999999,0.7142857140000001,0.857142857,0.571428571,0.9285714290000001,0.7410714290000001,0.955357143,9.40759378122401,0.0,0.0,4.53665689957503,4.53665689957503,10.07615374537191,4.53665689957503,1
57024,57.1030797357,732509.360892,0.0386553098949,0.0368953107299,0.0538829362664,0.0847772231969,0.100428690405,0.116663651257,0.145835152279,0.183184961106,0.0789679523946,0.160708812471,2.20733724314,2.10683587048,3.07688160601,4.84104053598,5.73478751594,6.66185377998,8.32763632883,10.4604254404,4.50931328215,9.17696813274,8.0,1.77584795029,77.7093556787,138,35,6.06352117721,9.20815252528,6.94481153361,9.92423879668,9.1371755154,7.15234391009,13.9056597338,11.9913526739,7.72064410941,13.9300773071,12.763356939,10.1361216029,9.96359970884,7.92346192079,1.09121509921,0.0,0.144267446838,377.0,150.869,2.498857364,0.116071429,0.0,0.0,0.035714286,0.0625,0.0625,0.098214286,0.16964285699999998,0.3125,0.089285714,0.026785714,0.026785714,0.23423423399999999,0.15315315300000001,0.261261261,0.027027027000000002,0.324324324,111.0,0.9459459459999999,0.0,0.054054054000000004,0.0,0.0,0.0,0.0,0.0,0.972972973,0.783783784,0.8558558559999999,0.567567568,0.9189189190000001,0.783783784,0.927927928,0.2496939908471342,0.0,0.44944918352484153,0.25593634061831255,0.7053855241431541,0.4869032821519117,0.7053855241431541,1
